original_script,first_line,last_line_requested,original_sha256
spatial_seurat_sam_split_pipeline_reviewed.R,1,351,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,355,363,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,1810,1969,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,2001,2012,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,2275,2437,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,2444,2675,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,2955,3168,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,4749,4860,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
spatial_seurat_sam_split_pipeline_reviewed.R,4935,4986,5bb4dbc1463e6c8fef3356c0785cd383254c07fe516c5ba463607992ef3fdc3c
reanalyze_fig4_trichome_with_companion_markers.R,1,10000,0fdf3e93e4bab864f0c1f120cb340662d5d756dd6ccebc3e271ae6ab52e122b6
spatial_seurat_bud_split_pipeline_reviewed.R,1,304,a21041356d3ed43d2a22ab3af8ad09d7577bb204e7d434f07df758d990b8613e
spatial_seurat_bud_split_pipeline_reviewed.R,373,407,a21041356d3ed43d2a22ab3af8ad09d7577bb204e7d434f07df758d990b8613e
spatial_seurat_stem_split_pipeline_reviewed.R,1,484,ae86d6d11aca756f3bdc10d6835d3c486498ebd54d38fd005c860cb6904c4f80
spatial_seurat_stem_split_pipeline_reviewed.R,486,513,ae86d6d11aca756f3bdc10d6835d3c486498ebd54d38fd005c860cb6904c4f80
spatial_seurat_petiole_long_split_pipeline_reviewed.R,1,655,b11d1cc0df47c37ae68ea05a0f8dc7a1c821f5b1e944e6dcfb5cd860c3ecdc43
spatial_seurat_petiole_long_split_pipeline_reviewed.R,656,671,b11d1cc0df47c37ae68ea05a0f8dc7a1c821f5b1e944e6dcfb5cd860c3ecdc43
spatial_seurat_petiole_cross_split_pipeline_reviewed.R,811,2499,fbaae4e6d4a980883796dd61ccfb856189b1af918f58d91b4060979ff3163cbf
petiole_mfuzz_side_prepare_v2.R,1,10000,d960de057654716fb1ea0e06a245b76c0e1d7aba8e26a05ad373a96c82410ebf
petiole_mfuzz_side_compare_v2.R,1,10000,8c31a1962a00577ce770412d93af68a4ed767d03796c786a0b1e00c1acd63129
spatial_seurat_petiole_cross_split_pipeline_reviewed.R,1,752,fbaae4e6d4a980883796dd61ccfb856189b1af918f58d91b4060979ff3163cbf
spatial_seurat_petiole_cross_split_pipeline_reviewed.R,753,810,fbaae4e6d4a980883796dd61ccfb856189b1af918f58d91b4060979ff3163cbf
petiole_side_DEG_GO_v2.R,1,10000,16b96f6fcb1119f85c87762a4382e94969e77c2f86296a1a6a080159fbaa5e73
poplar_spatial_atlas_figure_generation_updated.R,1,2648,828949c68f2c62e5d5e871e2bee613c97e733b7aa9b6d7303c1194cca4ce91b0
generate_fig2_poplar_markers_v2.R,1,10000,a4a71e8303cf02154f8d750e05f9913a85dab26e5f32780670057a5ce0bbcf16
generate_fig2_stem_markers_restored_v2.R,1,10000,384e07778ac30479acba3329d0ed8fcf8d43ac1dab6d173dd3ef47b2d2df7fda
complete_figure4_v2.R,1,10000,7e7ca4a3000a9c9ceb72a2510af7b02e182dc9094da2775c1ce9d3fe5886cb5b
build_figure4_eight_panel_v2.R,1,10000,1756b100423fd1e5c381fc02a96ce9529fb93a7dbca8fd0aa8277890dffe22b9
plot_fig4f_compact_v2.R,1,10000,7ab408384308605d63ff5a225a5cdeb7580e99e81e8534ad631f198b04909ace
petiole_mfuzz_side_panels_v2.R,1,10000,9e56e99bda0875787f4e686be8d4b649a89f7452b753f1743d5629eec5052ee0
petiole_mfuzz_side_recommended_v2.R,1,7,cce1bfabaab738c80c99c19d08a90cb8c7aa1df55c0ab4128354f396e30aecda
plot_supplementary_s5_recurrence_v2.R,1,10000,3df0e35ceb7b9988d81cfac574498513d459df21d8b73b451867e78fc37404ec
replot_fig3a_v2.R,1,10000,1b76677bda89840c6cb87bf9e04c3a50a73b716c8c2ba6a606831453594c433c
